id,date,team1,team2,category,rideCalculated,rideActual
67,"February 25 2024","Oklahoma City Thunder","Houston Rockets",overUnder,1,1
68,"February 25 2024","Chicago Bulls","New Orleans Pelicans",spread,1,1
69,"February 25 2024","Chicago Bulls","New Orleans Pelicans",overUnder,1,1
70,"February 25 2024","San Antonio Spurs","Utah Jazz",spread,1,0
71,"February 25 2024","San Antonio Spurs","Utah Jazz",overUnder,1,1
72,"February 25 2024","Portland Trail Blazers","Charlotte Hornets",spread,1,1
73,"February 25 2024","Portland Trail Blazers","Charlotte Hornets",overUnder,0,1
74,"February 25 2024","Los Angeles Clippers","Sacramento Kings",spread,0,1
75,"February 27 2024","Cleveland Cavaliers","Dallas Mavericks",spread,1,1
76,"February 27 2024","Brooklyn Nets","Orlando Magic",spread,0,0
77,"February 27 2024","Golden State Warriors","Washington Wizards",spread,0,0
78,"February 27 2024","New York Knicks","New Orleans Pelicans",spread,1,0
79,"February 27 2024","Milwaukee Bucks","Charlotte Hornets",spread,1,0
80,"February 29 2024","Milwaukee Bucks","Charlotte Hornets",overUnder,0,0
81,"February 29 2024","Orlando Magic","Utah Jazz",overUnder,0,0
82,"February 29 2024","Brooklyn Nets","Atlanta Hawks",overUnder,0,1
83,"February 29 2024","New York Knicks","Golden State Warriors",overUnder,0,0
84,"February 29 2024","Oklahoma City Thunder","San Antonio Spurs",overUnder,1,0
85,"February 29 2024","Phoenix Suns","Houston Rockets",overUnder,1,1
86,"February 29 2024","Miami Heat","Denver Nuggets",overUnder,0,0
87,"February 29 2024","Washington Wizards","Los Angeles Lakers",overUnder,1,0
88,"February 29 2024","Milwaukee Bucks","Charlotte Hornets",overUnder,0,0
89,"February 29 2024","Orlando Magic","Utah Jazz",overUnder,0,0
90,"February 29 2024","Brooklyn Nets","Atlanta Hawks",overUnder,0,1
91,"February 29 2024","New York Knicks","Golden State Warriors",overUnder,0,0
92,"February 29 2024","Oklahoma City Thunder","San Antonio Spurs",overUnder,1,0
93,"February 29 2024","Phoenix Suns","Houston Rockets",overUnder,1,1
94,"February 29 2024","Miami Heat","Denver Nuggets",overUnder,0,0
95,"February 29 2024","Washington Wizards","Los Angeles Lakers",overUnder,1,0
96,"February 29 2024","Milwaukee Bucks","Charlotte Hornets",overUnder,0,0
97,"February 29 2024","Orlando Magic","Utah Jazz",overUnder,0,0
98,"February 29 2024","Brooklyn Nets","Atlanta Hawks",overUnder,0,1
99,"February 29 2024","New York Knicks","Golden State Warriors",overUnder,0,0
100,"February 29 2024","Oklahoma City Thunder","San Antonio Spurs",overUnder,1,0
101,"February 29 2024","Phoenix Suns","Houston Rockets",overUnder,1,1
102,"February 29 2024","Miami Heat","Denver Nuggets",overUnder,0,0
103,"February 29 2024","Washington Wizards","Los Angeles Lakers",overUnder,1,0
104,"February 29 2024","Milwaukee Bucks","Charlotte Hornets",overUnder,0,0
105,"February 29 2024","Orlando Magic","Utah Jazz",overUnder,0,0
106,"February 29 2024","Brooklyn Nets","Atlanta Hawks",overUnder,0,1
107,"February 29 2024","New York Knicks","Golden State Warriors",overUnder,0,0
108,"February 29 2024","Oklahoma City Thunder","San Antonio Spurs",overUnder,1,0
109,"February 29 2024","Phoenix Suns","Houston Rockets",overUnder,1,1
110,"February 29 2024","Miami Heat","Denver Nuggets",overUnder,0,0
111,"February 29 2024","Washington Wizards","Los Angeles Lakers",overUnder,1,0
112,"February 29 2024","Milwaukee Bucks","Charlotte Hornets",overUnder,0,0
113,"February 29 2024","Orlando Magic","Utah Jazz",overUnder,0,0
114,"February 29 2024","Brooklyn Nets","Atlanta Hawks",overUnder,0,1
115,"February 29 2024","New York Knicks","Golden State Warriors",overUnder,0,0
116,"February 29 2024","Oklahoma City Thunder","San Antonio Spurs",overUnder,1,0
117,"February 29 2024","Phoenix Suns","Houston Rockets",overUnder,1,1
118,"February 29 2024","Miami Heat","Denver Nuggets",overUnder,0,0
119,"February 29 2024","Washington Wizards","Los Angeles Lakers",overUnder,1,0
120,"March 01 2024","Minnesota Timberwolves","Sacramento Kings",overUnder,0,1
121,"March 01 2024","Portland Trail Blazers","Memphis Grizzlies",overUnder,0,1
122,"March 02 2024","Brooklyn Nets","Atlanta Hawks",overUnder,1,0
123,"March 03 2024","Philadelphia 76ers","Dallas Mavericks",overUnder,0,1
124,"March 03 2024","Boston Celtics","Golden State Warriors",overUnder,0,0
125,"March 03 2024","Los Angeles Clippers","Minnesota Timberwolves",overUnder,0,0
126,"March 03 2024","Detroit Pistons","Orlando Magic",overUnder,0,0
127,"March 03 2024","Toronto Raptors","Charlotte Hornets",overUnder,0,0
128,"March 03 2024","Cleveland Cavaliers","New York Knicks",overUnder,0,0
129,"March 03 2024","Indiana Pacers","San Antonio Spurs",overUnder,1,1
130,"March 03 2024","Oklahoma City Thunder","Phoenix Suns",overUnder,1,1
131,"March 05 2024","Atlanta Hawks","New York Knicks",overUnder,0,1
132,"March 05 2024","Miami Heat","Detroit Pistons",overUnder,0,1
133,"March 05 2024","Houston Rockets","San Antonio Spurs",overUnder,0,0
134,"March 06 2024","Philadelphia 76ers","Memphis Grizzlies",overUnder,0,1
135,"March 07 2024","Chicago Bulls","Golden State Warriors",spread,1,1
136,"March 08 2024","Philadelphia 76ers","New Orleans Pelicans",overUnder,1,0
137,"March 08 2024","Charlotte Hornets","Washington Wizards",overUnder,1,0
138,"March 08 2024","New York Knicks","Orlando Magic",overUnder,1,0
139,"March 08 2024","Milwaukee Bucks","Los Angeles Lakers",overUnder,1,1
140,"March 08 2024","Portland Trail Blazers","Houston Rockets",overUnder,1,1
