id,date,team1,team2,category,rideCalculated,rideActual
487,"January 31 2024","Cleveland Cavaliers","Detroit Pistons",spread,1,1
488,"January 31 2024","Cleveland Cavaliers","Detroit Pistons",overUnder,0,1
489,"January 31 2024","Chicago Bulls","Charlotte Hornets",overUnder,0,1
490,"January 31 2024","Los Angeles Clippers","Washington Wizards",spread,0,0
491,"January 31 2024","Los Angeles Clippers","Washington Wizards",overUnder,1,1
492,"January 31 2024","Sacramento Kings","Miami Heat",overUnder,1,1
493,"January 31 2024","New Orleans Pelicans","Houston Rockets",spread,0,0
494,"January 31 2024","New Orleans Pelicans","Houston Rockets",overUnder,1,1
495,"January 31 2024","Dallas Mavericks","Minnesota Timberwolves",spread,1,0
496,"January 31 2024","Dallas Mavericks","Minnesota Timberwolves",overUnder,0,0
497,"January 31 2024","Oklahoma City Thunder","Denver Nuggets",overUnder,0,0
498,"January 31 2024","San Antonio Spurs","Orlando Magic",spread,1,0
499,"January 31 2024","San Antonio Spurs","Orlando Magic",overUnder,0,0
500,"January 31 2024","Phoenix Suns","Brooklyn Nets",spread,1,0
501,"January 31 2024","Phoenix Suns","Brooklyn Nets",overUnder,1,0
502,"January 31 2024","Portland Trail Blazers","Milwaukee Bucks",overUnder,0,0
503,"February 01 2024","Boston Celtics","Los Angeles Lakers",overUnder,1,1
504,"February 01 2024","New York Knicks","Indiana Pacers",overUnder,0,0
505,"February 01 2024","Cleveland Cavaliers","Memphis Grizzlies",spread,0,0
506,"February 01 2024","Cleveland Cavaliers","Memphis Grizzlies",overUnder,0,0
507,"February 01 2024","Philadelphia 76ers","Utah Jazz",spread,1,0
508,"February 01 2024","Philadelphia 76ers","Utah Jazz",overUnder,1,0
509,"February 02 2024","Detroit Pistons","Los Angeles Clippers",overUnder,0,1
510,"February 02 2024","Washington Wizards","Miami Heat",overUnder,0,0
511,"February 02 2024","Toronto Raptors","Houston Rockets",overUnder,0,1
512,"February 02 2024","Memphis Grizzlies","Golden State Warriors",overUnder,0,0
513,"February 02 2024","Orlando Magic","Minnesota Timberwolves",overUnder,0,1
514,"February 03 2024","Philadelphia 76ers","Brooklyn Nets",spread,1,1
515,"February 03 2024","Philadelphia 76ers","Brooklyn Nets",overUnder,1,0
516,"February 03 2024","Golden State Warriors","Atlanta Hawks",overUnder,1,0
517,"February 03 2024","Chicago Bulls","Sacramento Kings",spread,1,1
518,"February 03 2024","Chicago Bulls","Sacramento Kings",overUnder,1,0
519,"February 03 2024","Cleveland Cavaliers","San Antonio Spurs",overUnder,1,1
520,"February 03 2024","Milwaukee Bucks","Dallas Mavericks",spread,1,0
521,"February 03 2024","Milwaukee Bucks","Dallas Mavericks",overUnder,1,1
522,"February 03 2024","New York Knicks","Los Angeles Lakers",overUnder,0,0
523,"February 04 2024","Detroit Pistons","Orlando Magic",overUnder,0,0
524,"February 04 2024","Washington Wizards","Phoenix Suns",spread,1,0
525,"February 04 2024","Washington Wizards","Phoenix Suns",overUnder,1,0
526,"February 04 2024","Boston Celtics","Memphis Grizzlies",overUnder,0,1
527,"February 04 2024","Indiana Pacers","Charlotte Hornets",overUnder,1,1
528,"February 04 2024","Los Angeles Clippers","Miami Heat",overUnder,1,1
529,"February 04 2024","Toronto Raptors","Oklahoma City Thunder",overUnder,1,0
